sample_id,A_cov_ref,A_cov_gen,signature_ref,signature_gen
14574,0.10356,-0.010737,ALIGNED,MIXED
49583,0.188719,-0.018158,ALIGNED,MIXED
34444,0.102878,0.04313,ALIGNED,MIXED
30178,0.068511,0.028529,MIXED,MIXED
57002,0.099296,0.027722,MIXED,MIXED
66515,0.135527,0.041428,ALIGNED,MIXED
71944,0.201918,0.066434,ALIGNED,MIXED
68913,0.085208,0.016313,MIXED,MIXED
33179,0.111192,0.045386,ALIGNED,MIXED
18943,0.146992,0.037115,ALIGNED,MIXED
19285,0.139541,0.00726,ALIGNED,MIXED
70042,0.116154,0.032134,ALIGNED,MIXED
6872,0.046376,-0.080707,MIXED,MIXED
12716,0.114913,0.012717,ALIGNED,MIXED
48241,0.135713,0.003814,ALIGNED,MIXED
55607,0.289119,0.004158,ALIGNED,MIXED
7695,0.100719,0.037497,ALIGNED,MIXED
62020,0.199161,0.045242,ALIGNED,MIXED
14682,0.117853,0.0111,ALIGNED,MIXED
36201,0.070493,0.093223,MIXED,MIXED
24080,0.153728,-0.003997,ALIGNED,MIXED
41203,0.087598,0.068796,MIXED,MIXED
2514,0.060214,0.028268,MIXED,MIXED
6217,0.10171,0.012203,ALIGNED,MIXED
27166,0.046646,0.01318,MIXED,MIXED
533,0.178459,0.068864,ALIGNED,MIXED
61471,0.149997,0.068518,ALIGNED,MIXED
51080,0.211881,0.132404,ALIGNED,ALIGNED
48733,0.094948,0.051477,MIXED,MIXED
12383,0.069309,-0.010766,MIXED,MIXED
69549,0.211967,0.009427,ALIGNED,MIXED
69248,0.154342,0.081608,ALIGNED,MIXED
29117,0.070849,0.032853,MIXED,MIXED
65044,0.226279,0.114723,ALIGNED,ALIGNED
53460,0.255316,0.031179,ALIGNED,MIXED
18602,0.072969,-0.018783,MIXED,MIXED
29663,0.096087,0.025783,MIXED,MIXED
55982,0.109504,0.052478,ALIGNED,MIXED
31356,0.127464,0.043825,ALIGNED,MIXED
4918,0.217939,0.131864,ALIGNED,ALIGNED
7040,0.130602,0.022717,ALIGNED,MIXED
72132,0.136466,0.039974,ALIGNED,MIXED
56558,0.131211,0.043154,ALIGNED,MIXED
29608,0.137025,0.009569,ALIGNED,MIXED
16705,0.073176,0.05003,MIXED,MIXED
64949,0.053067,0.049198,MIXED,MIXED
55743,0.072948,0.071056,MIXED,MIXED
22199,0.091624,0.092805,MIXED,MIXED
1655,0.084677,0.053626,MIXED,MIXED
67477,0.066361,0.030082,MIXED,MIXED
33489,0.09732,0.048916,MIXED,MIXED
32596,0.158444,0.03601,ALIGNED,MIXED
28063,0.188437,0.054353,ALIGNED,MIXED
36331,0.147112,0.012629,ALIGNED,MIXED
16241,0.091276,0.025345,MIXED,MIXED
43686,0.089288,0.082797,MIXED,MIXED
55843,0.197994,0.05261,ALIGNED,MIXED
70515,0.117676,0.013504,ALIGNED,MIXED
62112,0.071305,0.011729,MIXED,MIXED
10176,0.072165,0.065627,MIXED,MIXED
36836,0.117812,0.023425,ALIGNED,MIXED
40875,0.020833,0.073704,MIXED,MIXED
41279,0.098681,0.101967,MIXED,ALIGNED
21949,0.147274,-0.012445,ALIGNED,MIXED
60958,0.264204,0.060134,ALIGNED,MIXED
50753,0.058394,-0.005394,MIXED,MIXED
33996,0.188339,-0.029345,ALIGNED,MIXED
31625,0.168884,0.001882,ALIGNED,MIXED
69596,0.129003,0.047923,ALIGNED,MIXED
57237,0.167986,0.037379,ALIGNED,MIXED
8658,0.110744,0.00792,ALIGNED,MIXED
26240,0.206875,-0.010815,ALIGNED,MIXED
64439,0.12218,0.03563,ALIGNED,MIXED
44036,0.093339,0.091557,MIXED,MIXED
11693,0.245923,0.13251,ALIGNED,ALIGNED
3170,0.146423,0.022271,ALIGNED,MIXED
55435,0.196066,0.022962,ALIGNED,MIXED
2320,0.18847,0.000844,ALIGNED,MIXED
40253,0.106484,0.030337,ALIGNED,MIXED
34385,-0.013177,0.035358,MIXED,MIXED
720,0.220607,-0.008624,ALIGNED,MIXED
16940,0.167241,0.082995,ALIGNED,MIXED
68118,0.196237,0.010887,ALIGNED,MIXED
8558,0.112242,0.037506,ALIGNED,MIXED
